Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
38,O=C(CCCCC)N[C@H](C1=CC=C(OCC2=CC=C(Cl)C(Cl)=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@@H](C=O)C1=CC=C(C=C1)OCC2=CC=C(C(Cl)=C2)Cl,NCC1=CC=C(C=C1)C(N)=O,36.8 +/- 0.4,10.8 +/- 4.8,19.3 +/- 2.3,n.d.,> 50,n.i.,n.i.,,
39,O=C([C@@H](NC(C)=O)CCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=C[C@H](CCCC)NC(C)=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,50.8 +/- 2.9,24.9 +/- 2.3,15.8 +/- 8.8,n.d.,> 50,n.i.,n.i.,,
40,N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,33.0 +/- 5.1,n.d.,> 50,10.8 +/- 5.3,37.3 +/- 5.9,,
41,O=C(C1CCC1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NCC4=CC=C(C(N)=O)C=C4)=O,O=CC1CCC1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,12.5 +/- 5.8,44.8 +/- 8.0,n.d.,> 50,n.i.,n.i.,,
42,O=C(CCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,16.4 +/- 7.0,38.0 +/- 7.7,13.7 +/- 2.1,> 100,n.i.,n.i.,,
43,O=C(CCCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,24.9 +/- 4.2,19.3 +/- 4.8,52.4 +/- 5.1,7.9 +/- 0.3,> 50,11.1 +/- 3.7,14.9 +/- 2.1,,
44,O=C(NCC1=CC=C(C(N)=O)C=C1)[C@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)NC(CCCCCCC)=O,CCCCCCCC=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,31.4 +/- 3.8,65.1 +/- 1.0,55.8 +/- 5.8,n.d.,> 50,n.i.,n.i.,,
45,O=S(N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O)(CCCCCCC)=O,O=S(CCCCCCC)=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,29.5 +/- 1.4,47.1 +/- 2.4,10.8 +/- 1.3,> 25,n.i.,31.3 +/- 3.5,,
46,O=C(NCC1=CC=C(C(N)=O)C=C1)[C@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)NCCCCCC,CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,18.7 +/- 9.4,n.d.,> 50,n.i.,n.i.,,
47,O=C(COCCOC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCOCCOC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,12.9 +/- 4.0,n.i.,27.4 +/- 3.4,n.d.,> 50,n.i.,n.i.,,
48,O=C(C(O)CCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CC(CCC)O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,13.0 +/- 2.1,n.i.,n.i.,n.d.,> 50,n.i.,n.i.,,
49,O=C(CCCCCN)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCCN,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,13.5 +/- 0.7,n.d.,> 50,n.i.,39.3 +/- 2.6,,
50,O=C(C1=CC=C(CN)C=C1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NCC4=CC=C(C(N)=O)C=C4)=O,O=CC1=CC=C(C=C1)CN,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,19.2 +/- 7.9 ,12.5 +/- 3.2,23.6 +/- 2.4,28.8 +/- 3.7,> 50,n.i.,n.i.,,
51,O=C(CCC1=CC=CC=C1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NCC4=CC=C(C(N)=O)C=C4)=O,O=CCCC1=CC=CC=C1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,12.1 +/- 7.3,57.3 +/- 2.6,12.2 +/- 1.1,> 50,n.i.,n.i.,,
52,O=C(/C=C/C1=CC=CC=C1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NCC4=CC=C(C(N)=O)C=C4)=O,O=C/C=C/C1=CC=CC=C1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,33.5 +/- 14.0,n.d.,> 50,n.i.,n.i.,,
53,O=C(NCC1=CC=C(C(N)=O)C=C1)[C@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)NCC4=CC=CC=C4,CC1=CC=CC=C1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,30.8 +/- 3.9,35.5 +/- 3.2,n.d.,> 50,n.i.,n.i.,,
54,O=C(C1=CC=CS1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NCC4=CC=C(C(N)=O)C=C4)=O,O=CC1=CC=CS1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,11.1 +/- 2.8,10.4 +/- 2.2,72.0 +/- 3.5,8.4 +/- 0.7,> 50,n.i.,n.i.,,
55,O=C(C1=CC(C=CC=C2)=C2S1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC2=C(S1)C=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,70.8 +/- 4.4,6.6 +/- 0.2,> 50,n.i.,n.i.,,
